,text
562,これ、うちは関係なかったんだけど謎に問い合わせ来てて、でもヤフーのトップ画面とヤフーニュースは見れてるって言うんだから、問題ないよね？という対応
564,今気づいたけどの3分じゃなくて30分 https://t.co/LaLa1MdvbS
566,そろそろ行くか
569,ぢごくさんやまぐねたさんと知り合ってから数年たち、おぢさんよりも少し付き合い長いはずなのにまだオフで会ったことがない
570,暗黒微笑ってネット老人会の辞書にありそう
572,年金クレカ払いマン
574,暇だから早く仕事回したくても客が家に居ない
575,？？？
576,代わりに俺の昼休みが3分伸びてる
582,見たい作品が多すぎる
583,ヘボットみたいが時間がない
589,わかる
591,"ﾋﾟﾎﾟｯ♪

\\\\\デーーーーーーーン/////"
595,( ﾟдﾟ)ﾊｯ!私は一体何を
596,タイリクオオカミのふとももペロペロ
600,逆にオシャレなロゴマーク作ったらそれなんか秋月じゃない感
601,秋月はあれ自体がもうロゴマーク
608,てかどんだけハイペース出回ってんだ…
609,内定者懇親会は草
616,はよ
630,めごいのと可愛いのとは若干ニュアンスが違うような気がするその違いみたいな（伝われ
631,愛でたい可愛さではなくて、結婚したい的な、理想の彼女的な可愛い
632,雪乃が可愛い
633,完全にタイトルで損してるよなぁ
634,ただのラノベオレツエーモテモテアニメだと思ってたら、中身めっちゃ深い
635,俺ガイル、めっちゃ面白い
639,なお新品だと12万する模様
640,カンパニョーロ　Shamal（中古）
645,間近欲しい
654,今日のツイートの傾向がおかしいのはたぶんアタランテのせい、
655,美少女には武器をもたせるべきと思うくらいそういうキャラクター好きなのにさらにケモミミケモ尻尾ふとももニーソミニスカ絶対領域とかもうやばい
656,カッコ可愛すぎるでしょ
657,アタランテのイラストをスマホの壁紙にしたらホーム画面に行くたびに心臓麻痺する
659,山岡家か
660,明日神山ばかり回るからラーメン食いたいなと思ったが、あのへんで美味いラーメン屋あるっけ
661,圧倒的アストルフォ
664,バイト中ずっとSTEPUP↑↑↑してたからな
665,体はNEWGAMEを求める
666,JSで作るクソゲーの会
669,ふかわさん、人生に衆目してるんじゃないかというくらい腐りきった芸能界でも最高レベルの知識人というか、あれだと思う（言葉が出ない）
684,正直学ぶこと学べたので満足
685,単純ミスばっかだったか
686,画像工学落ちたか〜
691,再履修の単位、AかBか
692,まぁ取引してるし違和感はないやろ。大丈夫！多分！
693,時間あるしさらっと大学行こうかな、流石にまずいか
698,あ、いや、必修以外に1コマ取らなきゃだめか
699,単位全部取れてるやん。これ再履修以外大学行かなくていいやつだ
706,よし寝る
707,武器持った女の子ってかっこいいしかわいいし最強じゃないですか
708,可愛い女の子には武器をもたせよ
709,アタランテ可愛すぎませんか
721,いたのか〜
726,これよ
728,一人旅はメリットのほうが多いから好き
731,「無」を購入してる人だ
734,商売うまいな
737,愛知近辺は貧乳率高いみたいな記事をどっかでみた記憶が
749,クソUIなんとかしろ
755,は！？
759,まじかよGG行こ
764,欲しい
767,自転車脳的には気温が幾ら関係しようが空気圧は減ってくだけの認識なので、同じく空気圧高いと言われたとき、そのままでいいですと言ってしまった
771,これ
780,"「答えは火炎瓶火炎瓶」と叫び叫びを投げつける
 https://t.co/7cHCQoVNjT"
786,"ヒモになるぞ！！！ヒモは救済！！！！！ヒモになりたい！！！俺はヒモになりたい！！！！！お前のヒモ！！！！ヒモになりた過ぎる！！！！！！！！！
 https://t.co/pyZItqySdh"
787,"クソ診断ばかりやってると人の心を失って死ぬぞ 　
 https://t.co/iENOVUtjUG"
805,世界で二番目に美味しいメロンパンアイス屋さんが大量に出店増やしたなら、世界で何番目に美味しいメロンパンアイス屋さんになるかコンテストやらないと
806,世界で二番目に美味しいメロンパンアイス屋さん五稜郭にも出来てた
808,山川牧場 https://t.co/q65P7HqrnT
809,作ってみた下さい。 https://t.co/9NOLV9Z9rQ
810,過疎 https://t.co/HTNV8oNb9n
814,この前行ったとき、やはりそういうことだったのか
819,つまりboothで置いてるのはまだ、準備できてないから買うなの意味の値段なのかな
824,東京に行くとそうなるのよなぁ
827,スクリプト言語の使いすぎ
828,型指定めんどくせーなー。重要なとこ以外自動でやってくれたらいいのに
829,ものはいいんだから、順当にCPU更新してたらそれなりに売れ行き良かったものを…
845,たろすくん強いのに何言ってるんだ
846,goげんgoやりたい
850,いろんなエディタ使いこなす前にいろんな言語触ったほうがいいのでは
851,せめて少し落ち着き目の色のポロシャツをだな…
855,vscodeがいい
856,emacsもvimも使えないのでnanoしか使ってないです
863,nanoがあってよかった
875,普通に高級ホテル
877,これやったら一番幸せかつ相手にもダメージを与えられそう
888,こうなるロジックがわかったので楽しい（？） https://t.co/pgxMS1j8xQ
889,どっかやばとこミスった結果 https://t.co/6lxuxC1El3
901,利便性が上がっているとは言え、送料や仕分け等による人件費が大幅に圧縮されて運営されるはずのニュースアプリで通常の新聞と同じ料金は流石にない…せめて半額
919,どうしてごちうさかわいいの
921,やっとC++分かってきた（わからない）
922,僕はETロボコンのコード書きに行きますがね
923,なぜ寝ないのか。そう！明日（今日）も休みだからである！
927,ユニーの商品券売ってない…
931,今気づいたけどこのTシャツ思いっきり色落ちしてんやん。 https://t.co/GYCW3gG7L3
932,下宿のレジェンドが来函したので、ぜひレジェンドの元部屋に住んでる人にも紹介しようとしたら湯の川の廃墟でドッキドキ！のお泊まり会してた
944,狐先輩経由の絵の供給
948,みんな買うんだ！
951,"弘前市をひろまえしと読む→わかる
土手町をつちてまちと読む→流石にない"
952,大丈夫。弘前市土手町という地名を「ひろまえしつちてまち」と読んだ強者ソニーコールセンターオペレーターがいるから https://t.co/463d3hd94G
955,弘前は免許センターできる前まではそうだった
956,地方の人は警察署でも試験受けれなかったっけ
959,チャリ部がゆず庵行ってるらしいが、なぜ俺を誘わなかったのが電子レンジに114514分問い詰めたい
961,推奨機が時限爆弾とのことですが、1年ごとに買い替えている私のノートPCをごr
962,Androidに移って一番困ったのはTheWorldが使えないこと
963,iPhoneが狂信的に薄さばかり求めないで少し厚くてもいいからバッテリー容量増やしてくれたらiPhoneに戻ってもいい
964,iPhoneは電池持たなすぎてクソだけどMacは好き
967,バイト先の業務用スマホ、ケータイ打ちの人多いのでケータイ打ちが有効化されてるのでフリックの時に連打するのがとてもめんどい
968,フリック、ケータイ打、qwerty、なんでもこいや！
974,登録させろ
981,これ良さそう
988,無事終バス拾えた…しぬかとおもった
990,フレームワーク使うとdivは無限に増える
991,おやすみ
992,てかぐぐれ
993,"区切るだけ→div
意味のあるまとまり→section
文章・記事としてのまとまり→article"
994,divとsectionの使い分けね、俺もあまりわかってない
996,"メカヲタ。 が 2016 年に新たに学ぶべき言語は『ActiveBasic』です。
#1year1lang https://t.co/PEhMnZxfpa"
997,"ＵＲ：undefined
Ｎ：バグ
Ｎ：例外
Ｎ：例外
Ｎ：例外
Ｎ：例外
Ｎ：例外
Ｎ：例外
Ｎ：例外
Ｒ：コンパイルエラー
#プログラマガチャ https://t.co/QmCgzg2phC"
998,"メカヲタ。さんは​long(*const)[][]型です
#型チャレンジ https://t.co/x73hcooS15"
999,bracketsはおもすぎるしUTF8しか読めないのでない
1000,vscode、便利なんだけどpython以外では要らないインデントや改行してきてうざったくなってきた
1003,何もかも投げ出したくなったら、GASなら適当かつ秘匿性を必要としないものに関しての超簡易的なバックエンドシステムなら軽く作れるのでおすすめ
1008,古い車両ばっかで違和感
1010,"先生曰く、今は研究やってるおかげか前みたいな発狂はそんなにないし、やはり、勉強だけはめちゃくちゃ出来るから…（うーんこの）…でもグループワークは絶望的に駄目よね…
みたいに言ってたのでまぁそんな感じ"
1011,SSDは対アスペ向けのしつけを全くされていないようだったので何やってもレスポンス（ストレス源）が返ってくるので地獄だった
1012,ぐんさんは多分アスペじゃないんじゃないか？そんな心配するほどではないと思う
1013,アスペではないにしろ何かしらのアレはある気がします。医学的知見はないので知りません
1014,モノホンのアスペと同居してたけど控えめに行って迷惑かけるなら・かけるのが分かってるならできる限りの迷惑かけない努力（≒退居）しろってなる
1015,アスペなのであれこもこれもそれも、全部最優先、どれを優先すべきかは考えろ、自分でやれ、仕事は自分で覚えろ、とか言われても無理です外部には出さないけど内部に発散して爆裂四散します
1016,これの問題は、こんな感じの例外が多すぎる割には厳格にしなきゃだめな携帯キャリアの料金プランようなオペレーションが問題 https://t.co/05VEzKA3eZ
1017,"社長「売上げアップのために仕事増えるけど頑張ってね」
が月に1回。客向けの設備は拡充するのに店向けの設備はwinXP世代から変わらぬまま、人員削減させてる割にオペレーションも機械化できるとこもそのまま。機械化の進む近くの寿司屋のほうが時給100円高い。
そりゃやめるわ https://t.co/05VEzKA3eZ"
1018,"社員「キッズコーナーの中は混雑時は修羅と化すから、客のトラブルに足突っ込まんでね」
俺「あいよ」
客「別の子供が息子の靴間違って履いてった」
俺「すまんがうちでは介入できんのでサーセン」
社「（俺へ向かって）馬鹿かてめぇ自分のしたこと分かってんのかクソガキ」
俺「」"
1019,広くなきゃだめなのはわかるが、車これから乗れるようになる免許なしを考えなさすぎでは
1020,函館免許センターも車持たぬもの殺すって感じだし、弘前免許センターも青森県免許センターも郊外
1025,うちんとこははくすけくんが来たので時給1150円になります
1026,今のバイトはまじで募集要項に書かれたこと以外は仕事するなって言われるので本当に楽。いつしか見た「高い給料・報酬の仕事・案件ほどホワイト」ってのがよく分かる
1027,だからカードバイトよりらのバイトの方がやはりきつかったですね。時給も210円下がったし
1028,カードのバイトは悪くなかったが、こっちは完全に人間関係だけでNGになってきたもんな。先輩が皆引っ越して俺が最年少の先輩なのにババアを引き連れなきゃだめとか嫌ですよ
1029,ら！は人間関係もNG、好きなことしてた訳でもなくNG、仕事は個人的にクソほどもキツイ、なのに時給はクソ低いのでだめだった
1030,この流れホント好き
1035,割りとありな気がした
1037,多分元気だと思う
1039,まほいくは面白かった
1040,やめ
1042,22日アッテおばいよ案件終わったらラウワンのカラオケ行こ
1043,お店としてはいいがバイトはしたくない
1044,ラウワンの上司、もう顔しか覚えてない
1046,とりあえず今のバイトがガジェオタとしては最高に楽しいので卒業までやるかなと
1047,ラウワン、朝と夜やはり仲悪いのね。どちらにも入らされて肩身狭いってもんじゃなかったが
1049,留年したからと学費を稼ぐために最低賃金コンビニバイトしてる人は早くもっと高時給のとこに転職しなよ、なぁ文学？
1051,くれちゃんも留年してたのね
1054,誰
1055,留年仲間のシンディ
1059,nRioki留年しないのは不正
1062,おめー昔のマイクラ知らねぇな？（中2からやってた老害）
1066,日本だって留年するでしょ。文系以外は
1072,ガス欠は草
1073,え、もう鳥取まで行ったのか…
1082,"は゛い゛っ゛て゛お゛尻゛に゛お゛尻゛に゛お゛尻゛に゛お゛尻゛に゛ｼﾞﾘﾘﾘﾘﾘﾘﾘﾘﾘﾘﾘwwwwwwwwwwｷﾝｺﾝ/ｷﾝｺﾝ/ｷﾝｺﾝ/ｷﾝｺﾝ/ｷﾝｺﾝ/ｷ
 https://t.co/DQTj1ensnX"
1087,わかりみ
1089,gitとは何かをまともにわからず1作業ごとにコミットしてた時代
1090,https://t.co/x7aXJQ6xvX
1091,寧ろたった1k円でアウトソーシング出来るなら普通にするし、それできないのが今の大半の日本企業
1096,寧ろ来週からやっと夏休みって感じある
1097,😎
1101,俺より圧倒的にまとも
1103,伝われ
1104,自分のコミットメッセージテキトウ過ぎてやばいと思ってるんだけどコミットする時の精神状態だいたい「味噌スープ」って返す状態なので直せない
1108,Pebblesはいいぞ
1116,県内でも再先端を行くネット環境があった
1117,しかもこれ、フジテレビ系のやつだったのになんで知ってんだと思ったら、パソコンの超黎明期のフラッシュゲームかCDROMゲームで就学前にやってたんだ多分
1118,懐かしすぎませんか
1127,すごい人からいい意味で虐められるくらいのスキルが欲しい！
1130,私もCppわかんないです
1131,きびしい
1137,浅草か。行こうかな
1140,産業別最低賃金にプログラマー入れて
1143,高田馬場はやばい街だからね、仕方ないね
1145,東京行ってシネマシティに行く理由ができた
1158,"モデル提出が明後日。

ドキュメント書きたくないでござる！コードだけ書きたいでござる！"
1159,砂州が魔境ハコダテ
1161,"未来大、
下から入るか
裏から入るか"
1162,キャッシュ売るか
1170,左折巻き込みだな
1172,←ずーしーほっきーに見えるムーミン
1175,動画工房の煙を使わない乳首隠し技術すごい
1176,あーNew Game最高化
1177,上昇中↑↑ https://t.co/sSLcxTtReP
1178,https://t.co/WH3qXn2Alv https://t.co/HIAuDScfBE
1179,ポートフォリオサイト、とりあえず作らなきゃで作ったのでヒーローイメージがずーしーほっきーなのなんとかせねば（多分そのまま）
1180,旅行先での宿泊はだらっと荷物広げられる和室のほうが便利
1181,やはり浅草から南千住までのあの辺、宿のクオリティは高いのに余分なとこ省いて安いので神
1188,airbnbで予約して15泊32kえんで抑えることに成功
